Wavelength,Flux,BestFit,SkyFlux
4579.309,44.547,50.731,6.602
4580.365,49.010,49.050,6.614
4581.419,48.871,50.381,6.660
4582.473,48.987,51.396,6.560
4583.530,47.615,51.428,6.945
4584.584,47.620,52.182,6.725
4585.641,47.543,52.404,5.918
4586.696,48.053,49.157,5.528
4587.754,47.021,50.242,6.118
4588.809,49.753,51.460,6.406
4589.865,44.778,51.487,6.923
4590.923,46.075,51.553,7.082
4591.980,50.968,50.570,6.568
4593.038,51.915,50.761,6.030
4594.095,52.174,53.341,6.271
4595.154,54.744,54.227,6.177
4596.212,56.078,54.566,5.460
4597.269,55.922,56.340,5.583
4598.329,57.959,56.227,5.855
4599.387,57.920,54.394,5.918
4600.447,55.794,53.859,6.473
4601.506,55.361,53.945,5.940
4602.567,53.382,52.033,5.430
4603.626,51.940,48.850,6.323
4604.685,50.218,49.123,6.457
4605.747,51.198,48.361,5.485
4606.806,50.497,48.453,5.429
4607.868,51.000,50.124,5.501
4608.928,51.807,51.797,6.162
4609.991,53.359,51.768,7.154
4611.052,51.942,50.739,6.736
4612.113,55.259,51.288,5.713
4613.176,56.337,50.058,5.422
4614.237,54.399,50.042,5.810
